LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
OAVG,PISAMATH,BOY,MEANSCORE,A,2018,492
OAVG,PISAMATH,GIRL,MEANSCORE,A,2018,487
OAVG,PISAMATH,TOT,MEANSCORE,A,2018,489
POL,PISAMATH,BOY,MEANSCORE,A,2018,516
POL,PISAMATH,GIRL,MEANSCORE,A,2018,515
POL,PISAMATH,TOT,MEANSCORE,A,2018,516
PRT,PISAMATH,BOY,MEANSCORE,A,2018,497
PRT,PISAMATH,GIRL,MEANSCORE,A,2018,488
PRT,PISAMATH,TOT,MEANSCORE,A,2018,492
RUS,PISAMATH,BOY,MEANSCORE,A,2018,490
RUS,PISAMATH,GIRL,MEANSCORE,A,2018,485
RUS,PISAMATH,TOT,MEANSCORE,A,2018,488
SVK,PISAMATH,BOY,MEANSCORE,A,2018,488
SVK,PISAMATH,GIRL,MEANSCORE,A,2018,484
SVK,PISAMATH,TOT,MEANSCORE,A,2018,486
SVN,PISAMATH,BOY,MEANSCORE,A,2018,509
SVN,PISAMATH,GIRL,MEANSCORE,A,2018,509
SVN,PISAMATH,TOT,MEANSCORE,A,2018,509
SWE,PISAMATH,BOY,MEANSCORE,A,2018,502
SWE,PISAMATH,GIRL,MEANSCORE,A,2018,503
SWE,PISAMATH,TOT,MEANSCORE,A,2018,502
TUR,PISAMATH,BOY,MEANSCORE,A,2018,456
TUR,PISAMATH,GIRL,MEANSCORE,A,2018,451
TUR,PISAMATH,TOT,MEANSCORE,A,2018,454
USA,PISAMATH,BOY,MEANSCORE,A,2018,482
USA,PISAMATH,GIRL,MEANSCORE,A,2018,474
USA,PISAMATH,TOT,MEANSCORE,A,2018,478
AUS,PISASCIENCE,BOY,MEANSCORE,A,2018,504
AUS,PISASCIENCE,GIRL,MEANSCORE,A,2018,502
AUS,PISASCIENCE,TOT,MEANSCORE,A,2018,503
AUT,PISASCIENCE,BOY,MEANSCORE,A,2018,491
AUT,PISASCIENCE,GIRL,MEANSCORE,A,2018,489
AUT,PISASCIENCE,TOT,MEANSCORE,A,2018,490
BEL,PISASCIENCE,BOY,MEANSCORE,A,2018,501
BEL,PISASCIENCE,GIRL,MEANSCORE,A,2018,496
BEL,PISASCIENCE,TOT,MEANSCORE,A,2018,499
